RELAÇÃO DE COLABORADORES — FRETAMENTO 2026
Empresa Modelo S.A. · exportado do RH

Matrícula;Colaborador;Endereço;Nº;Bairro;Planta;Turno de trabalho;Mobilidade reduzida;Latitude;Longitude;Centro de custo
50368;Fernando Cardoso;Av. dos Trabalhadores;s/n;Distrito de Bonfim;Escritório administrativo;Geral;;;;CC-2040 Logística
50369;Tânia Esteves;Rua das Palmeiras;226;Zona Rural Norte;Planta 2 — Centro de distribuição;turno 3;;-21.060783;-47.768581;CC-3070 Qualidade
50370;Sérgio Moreira;Av. dos Trabalhadores;94;Jardim Operário;Planta 1 — Fábrica;3 TURNO;;-21.184309;-47.805715;CC-4090 Administrativo
50371;Cláudia Santos;Rua Projetada B;486;Vila Industrial;Planta 2 — Centro de distribuição;T1;;-21.136675;-47.787444;CC-3070 Qualidade
50372;Sérgio Lima;Av. Industrial;397;Centro;Planta 1 — Fábrica;1 TURNO;;-21.148768;-47.802273;CC-1010 Produção
50373;Hélio Cardoso;Estrada do Contorno;s/n;Distrito de Bonfim;Planta 2 — Centro de distribuição;1º turno;;;;CC-4090 Administrativo
50374;Adriana Gonçalves;Rua Projetada B;454;Zona Rural Norte;Planta 1 — Fábrica;1º turno;-;-21.100988;-47.787902;CC-3070 Qualidade
50375;Leandro Teixeira;Rua Dom Pedro;561;Jardim Operário;Planta 2 — Centro de distribuição;T2;;-21.154945;-47.814976;CC-3070 Qualidade
50376;Renata Gonçalves;Travessa da Fábrica;s/n;Vila Industrial;Escritório administrativo;Geral;-;;;CC-3070 Qualidade
50377;Edna Moreira;Travessa da Fábrica;1034;Centro;Planta 2 — Centro de distribuição;1º turno;;-21.168216;-47.798176;CC-3070 Qualidade
50378;Bruno Pires;Rua 7 de Setembro;41;Distrito de Bonfim;Planta 1 — Fábrica;T1;;-21.187734;-47.883417;CC-1010 Produção
50379;Vagner Moreira;Rua 7 de Setembro;s/n;Zona Rural Norte;Planta 2 — Centro de distribuição;T3;;;;CC-5020 Manutenção
50380;PAULO MOREIRA;Rua das Palmeiras;249;Jardim Operário;Planta 1 — Fábrica;turno 1;;-21.158403;-47.817344;CC-3070 Qualidade
50381;Douglas Santos;Rua das Palmeiras;s/n;Vila Industrial;Planta 2 — Centro de distribuição;T2;;;;CC-5020 Manutenção
50382;Jonas Farias;Rua 7 de Setembro;243;Centro;Planta 1 — Fábrica;turno 2;;-21.149734;-47.809738;CC-2040 Logística
50383;Odete Barbosa;Rua Projetada B;616;Distrito de Bonfim;Planta 2 — Centro de distribuição;C;;-21.230762;-47.875134;CC-5020 Manutenção
50384;Edna Nunes;Av. dos Trabalhadores;s/n;Zona Rural Norte;Escritório administrativo;Geral;;;;CC-4090 Administrativo
50385;Bruno Farias;Rua 7 de Setembro;682;Jardim Operário;Escritório administrativo;ADM;;-21.175774;-47.798668;CC-4090 Administrativo
50386;Márcia Barbosa;Rua Dom Pedro;1001;Vila Industrial;Planta 1 — Fábrica;turno 1;-;-21.160851;-47.77973;CC-3070 Qualidade
50387;Douglas Pires;Rua Dom Pedro;967;Centro;Planta 2 — Centro de distribuição;turno 1;;-21.164563;-47.801938;CC-5020 Manutenção
50388;Hélio Esteves;Rodovia SP-330 km 12;473;Distrito de Bonfim;Planta 1 — Fábrica;1 TURNO;;-21.220054;-47.870815;CC-3070 Qualidade
50388;Hélio Esteves;Rodovia SP-330 km 12;473;Distrito de Bonfim;Planta 2 — Centro de distribuição;1 TURNO;;-21.220054;-47.870815;CC-3070 Qualidade
50389;Paulo Farias;Estrada do Contorno;756;Zona Rural Norte;Escritório administrativo;COMERCIAL;-;-21.09773;-47.721736;CC-3070 Qualidade
50390;Gisele Duarte;Rua das Palmeiras;362;Jardim Operário;Planta 1 — Fábrica;1º turno;;-21.179091;-47.798906;CC-4090 Administrativo
50391;Paulo Santos;Av. dos Trabalhadores;603;Vila Industrial;Planta 2 — Centro de distribuição;turno 2;;-21.162661;-47.781483;CC-2040 Logística
50392;Leandro Ramos;Travessa da Fábrica;46;Centro;Planta 1 — Fábrica;T3;não;-21.166755;-47.804129;CC-3070 Qualidade
50393;Bruno Esteves;Av. dos Trabalhadores;215;Distrito de Bonfim;Escritório administrativo;Escritório;;-21.196307;-47.884212;CC-5020 Manutenção
50394;Odete Moreira;Rua das Palmeiras;s/n;Zona Rural Norte;Planta 1 — Fábrica;T2;;;;CC-3070 Qualidade
50395;Gisele Teixeira;Av. Industrial;1164;Jardim Operário;Planta 2 — Centro de distribuição;T2;;-21.186066;-47.821119;CC-1010 Produção
50396;Fernando Santos;Av. Industrial;440;Vila Industrial;Planta 1 — Fábrica;T2;;-21.155792;-47.796049;CC-4090 Administrativo
50397;Douglas Teixeira;Rua das Palmeiras;107;Centro;Planta 2 — Centro de distribuição;turno 2;;-21.159068;-47.810774;CC-2040 Logística
50398;Hélio Moreira;Rua Dom Pedro;94;Distrito de Bonfim;Planta 1 — Fábrica;1º turno;;-21.196875;-47.840869;CC-2040 Logística
50399;HÉLIO ESTEVES;Travessa da Fábrica;585;Zona Rural Norte;Planta 2 — Centro de distribuição;T1;;-21.144401;-47.764958;CC-1010 Produção
50400;Odete Teixeira;Travessa da Fábrica;293;Jardim Operário;Planta 1 — Fábrica;1º turno;;-21.181011;-47.819481;CC-2040 Logística
50401;Hélio Cardoso;Rua 7 de Setembro;26;Vila Industrial;Planta 2 — Centro de distribuição;1 TURNO;-;-21.144888;-47.792282;CC-3070 Qualidade
50402;Paulo Queiroz;Travessa da Fábrica;121;Centro;Planta 1 — Fábrica;turno 2;;-21.152738;-47.807028;CC-5020 Manutenção
50403;Adriana Pires;Rua das Palmeiras;406;Distrito de Bonfim;Planta 2 — Centro de distribuição;2 TURNO;;-21.205206;-47.837631;CC-5020 Manutenção
50404;Odete Ramos;Av. Industrial;708;Zona Rural Norte;Planta 1 — Fábrica;T3;;-21.123543;-47.732008;CC-3070 Qualidade
50405;Adriana Santos;Rua 7 de Setembro;416;Jardim Operário;Escritório administrativo;Escritório;não;-21.157001;-47.802363;CC-4090 Administrativo
50406;Odete Lima;Rua Dom Pedro;1136;Vila Industrial;Planta 1 — Fábrica;1º turno;;-21.155459;-47.799349;CC-4090 Administrativo
50407;Fernando Cardoso;Travessa da Fábrica;312;Centro;Planta 2 — Centro de distribuição;2 TURNO;;-21.14874;-47.802279;CC-4090 Administrativo
50408;Gisele Santos;Rodovia SP-330 km 12;s/n;Distrito de Bonfim;Escritório administrativo;COMERCIAL;;;;CC-3070 Qualidade
50409;Fernando Teixeira;Rua Dom Pedro;871;Zona Rural Norte;Planta 2 — Centro de distribuição;2 TURNO;;-21.129652;-47.793767;CC-1010 Produção
50410;Gisele Nunes;Rua Projetada B;1028;Jardim Operário;Planta 1 — Fábrica;1º turno;;-21.174361;-47.803389;CC-2040 Logística
50411;Adriana Almeida;Av. dos Trabalhadores;s/n;Vila Industrial;Planta 2 — Centro de distribuição;T1;;;;CC-4090 Administrativo
50412;Leandro Henriques;Rodovia SP-330 km 12;s/n;Centro;Planta 1 — Fábrica;turno 3;;;;CC-1010 Produção
50413;Douglas Pires;Av. dos Trabalhadores;349;Distrito de Bonfim;Planta 2 — Centro de distribuição;1º turno;;-21.203119;-47.834728;CC-5020 Manutenção
50414;Bruno Queiroz;Travessa da Fábrica;562;Zona Rural Norte;Planta 1 — Fábrica;2º turno;;-21.070327;-47.771508;CC-1010 Produção
50415;Odete Ramos;Av. dos Trabalhadores;1154;Jardim Operário;Planta 2 — Centro de distribuição;T2;;-21.162788;-47.79899;CC-4090 Administrativo
50416;Márcia Lima;Rua Projetada B;470;Vila Industrial;Planta 1 — Fábrica;T3;sim;-21.155283;-47.779824;CC-3070 Qualidade
50417;Leandro Duarte;Rua 7 de Setembro;835;Centro;Planta 2 — Centro de distribuição;1 TURNO;;-21.152231;-47.794447;CC-2040 Logística
50418;SÉRGIO TEIXEIRA;Rua das Palmeiras;s/n;Distrito de Bonfim;Escritório administrativo;Escritório;;;;CC-4090 Administrativo
50419;Edna Lima;Av. dos Trabalhadores;546;Zona Rural Norte;Planta 2 — Centro de distribuição;turno 1;;-21.07669;-47.754241;CC-1010 Produção
